0	140
1	1630
2	1038
3	1788
4	1546
5	230
6	1122
7	1394
8	1128
9	1691
9	1517
9	1575
9	595
9	629
9	641
9	1465
9	1094
9	1997
9	1294
9	589
9	558
9	1170
9	1382
9	89
9	2093
9	422
9	741
9	64
9	1934
10	140
11	779
12	1949
13	257
14	1387
15	230
16	319
17	1455
18	1372
19	1422
20	1106
21	1394
22	192
23	1943
24	1550
25	308
26	779
27	2005
28	1462
29	1261
30	1685
31	1027
31	781
31	252
31	1924
31	117
31	1285
31	1578
31	2100
31	138
32	1796
33	1546
34	1128
35	1696
36	521
37	1981
38	565
39	791
40	914
41	257
42	1066
43	319
44	1886
45	284
46	175
47	962
47	1306
47	356
47	1709
47	1418
47	434
47	1515
47	1620
47	1482
47	1858
47	684
47	780
47	862
48	531
49	2106
49	2039
50	1894
51	871
52	779
53	109
54	103
55	151
55	1865
55	1632
55	1965
55	375
55	1259
55	1978
55	274
55	205
55	1576
55	570
55	2031
55	2091
55	1938
55	1404
55	1563
55	299
55	1963
55	209
55	1909
55	1289
55	1974
55	507
55	2082
56	531
57	320
57	1077
57	99
58	1972
59	419
60	538
61	585
61	1134
61	1260
61	2028
61	1645
61	1944
61	1867
61	2026
61	1075
61	2023
61	881
61	1868
61	1516
61	1118
62	1193
63	1128
65	1122
66	942
67	531
68	1106
69	1372
70	1275
71	2077
72	1128
73	350
74	1422
75	2027
76	740
77	524
78	1341
79	1381
80	1193
81	1106
82	935
83	1537
84	1972
85	319
86	1301
87	1552
88	531
90	779
91	935
92	2005
93	538
94	521
95	1372
96	1696
97	1341
98	1630
99	2058
99	1857
99	1358
99	1776
99	292
99	1719
99	198
99	1102
99	148
99	1774
100	1943
101	1546
101	871
102	1127
103	1277
103	1679
103	372
103	1787
103	1296
103	1937
103	841
103	969
103	1922
103	728
103	1092
103	1328
103	1415
103	648
103	1594
103	909
103	1082
103	518
103	2081
103	1858
103	1686
103	1201
103	1297
103	1769
103	1210
103	927
104	521
105	1788
106	573
107	1687
108	319
109	1202
109	415
109	1725
109	481
109	332
109	268
109	314
109	1169
109	1827
109	888
109	364
109	2101
109	182
109	1892
109	1803
109	2018
109	725
110	945
111	1811
112	1653
113	1106
114	319
115	525
116	1077
118	1122
119	524
120	1687
121	878
122	317
123	1433
124	779
125	210
125	830
126	284
127	1368
128	573
129	175
130	1906
131	2106
132	1341
133	1836
134	320
135	1630
136	319
137	521
139	1193
140	985
140	621
140	1888
140	1230
140	784
140	816
140	1148
140	1187
140	1874
140	465
140	293
140	510
140	1262
140	438
141	1939
142	1957
143	175
144	1600
145	1422
146	1037
147	1433
149	1552
150	1433
152	1916
153	333
154	1106
155	1696
156	1341
157	1550
158	878
159	1972
160	1484
161	508
162	573
163	1394
164	1455
164	1701
165	1193
166	1381
167	914
168	1630
169	175
170	1106
171	878
172	1106
173	1449
173	192
174	257
175	1174
175	1154
175	1622
175	1058
175	1090
175	722
175	838
175	404
175	581
175	217
175	1777
175	1292
176	1381
177	389
177	1080
178	1433
179	1972
180	531
181	1743
181	582
181	444
181	1518
181	1828
181	246
181	315
181	1429
183	1368
184	210
185	942
185	1438
186	1101
187	1998
188	521
189	1696
190	878
191	740
192	839
192	476
192	505
192	1340
192	2083
192	1946
192	1307
192	934
192	584
192	541
192	1435
192	207
192	1126
192	543
192	376
192	1768
192	551
192	1398
192	1042
192	889
192	691
192	1129
192	1198
192	2074
192	1642
193	615
194	419
195	1122
196	1106
197	333
199	937
199	1593
199	935
200	508
201	878
202	1894
203	538
204	878
206	1906
208	1484
210	512
210	1439
210	756
210	2105
210	515
210	811
210	1242
210	411
210	705
210	511
210	736
210	640
210	2076
210	330
210	514
210	1991
210	1710
211	1261
212	935
213	1261
214	1546
215	779
216	1869
218	935
219	1980
219	1631
220	1600
221	1994
222	1128
223	1433
224	1731
225	1433
226	942
227	565
228	309
228	615
228	1223
229	275
230	2052
230	1899
230	1164
231	1106
232	1473
233	549
233	1525
234	884
234	1706
234	2000
234	1926
234	288
234	1832
234	780
235	1994
236	1469
237	284
238	643
238	1301
239	1204
240	1980
241	1521
242	1484
243	999
244	573
245	2027
247	1125
248	1593
249	2078
250	1980
251	1038
253	1943
253	1630
254	1652
254	1523
254	1968
254	1196
254	1729
254	427
254	666
254	1316
255	643
256	1811
257	1992
257	1411
257	1772
257	1137
257	1602
257	784
257	296
257	1447
257	1617
257	1611
257	1646
257	1046
257	635
257	883
257	1749
257	1582
257	1114
257	1084
257	673
258	1355
259	779
260	1381
261	1980
262	1080
263	1943
264	1728
265	914
266	1080
267	320
269	523
270	1731
271	1008
271	2085
272	1106
273	319
275	1850
275	630
275	506
275	498
275	1745
276	697
277	1593
278	1788
279	1449
280	1916
281	878
282	523
283	1957
284	1178
284	1887
284	1928
284	1752
284	840
284	1791
284	1059
284	892
284	382
284	652
284	828
284	1502
284	1218
284	1168
284	1185
284	1713
284	1835
284	1322
284	328
284	1333
284	1953
284	1800
284	1220
284	775
284	1801
285	609
286	1537
287	1636
288	1295
288	1870
289	1433
290	1368
291	1550
292	615
294	1077
295	1037
295	1618
297	2005
298	1546
299	1957
300	1393
301	549
302	937
303	1080
304	1972
305	1943
306	1455
307	2078
308	2062
308	1493
308	1622
308	580
308	1812
308	1538
308	481
308	1437
308	1527
308	1402
308	1273
309	1785
309	657
309	1558
309	344
309	695
309	1544
309	685
309	821
309	946
309	1120
309	700
310	878
311	317
312	1907
313	878
314	1008
316	1653
317	1147
317	882
317	1977
317	1925
317	669
317	413
317	577
317	407
317	1793
317	418
317	2014
317	849
317	1764
318	521
319	1423
319	435
319	654
319	1172
319	1936
319	1961
319	1737
319	1191
319	452
319	936
319	1988
319	664
319	1612
319	387
319	527
319	659
319	1683
319	554
319	762
319	925
319	1045
319	895
319	1029
319	1765
319	1890
319	366
319	461
319	715
319	1474
319	1309
319	1375
319	1851
319	1005
319	568
319	1722
319	1625
319	544
319	509
319	922
319	852
319	842
319	1450
319	1519
320	923
320	1741
320	794
320	676
320	939
320	1804
321	942
322	1473
323	1455
324	1106
325	549
326	1341
327	818
327	1565
329	618
331	1972
333	363
333	1952
333	1750
333	1616
334	1193
335	1106
336	1916
337	716
338	1077
339	1106
340	1981
341	1455
342	1949
342	1275
342	1907
343	1453
345	1552
346	1106
347	1390
348	1381
349	1728
350	424
350	1520
350	864
350	1181
350	446
350	1727
350	792
351	1957
352	521
353	1128
354	531
355	1687
356	2027
357	1393
358	565
359	538
360	2005
361	1537
362	935
365	935
367	565
368	1559
369	1193
370	1894
371	565
373	1106
374	1433
377	1696
378	878
379	523
380	1869
381	1731
383	1811
384	2005
385	878
385	1390
386	1368
388	1525
389	1884
389	1164
390	976
391	1387
392	523
393	1433
394	521
395	1193
395	615
396	1106
397	1066
398	1949
399	1685
400	1600
401	1600
402	1636
403	615
405	779
406	2027
408	1788
409	1593
410	1038
412	1972
414	1261
416	740
417	523
419	1336
419	2061
419	1985
419	1420
419	1454
419	886
419	1380
419	880
419	1833
419	1208
419	916
420	1223
421	1106
423	2039
425	878
426	1484
427	1449
428	1484
428	1393
428	1261
429	871
430	1631
431	521
432	1731
433	521
436	1453
437	1559
439	538
440	1038
441	1546
442	1080
443	1811
445	1943
447	878
448	1731
449	1080
450	1994
451	549
452	1184
452	1473
452	1453
452	1637
452	999
453	1685
454	697
455	1636
456	1080
457	791
457	1122
458	1106
